,title,date,content,preprocessed_content
4,"City planing to setup public crematorium, columbarium",2023-04-23,"The city government targets to construct a public crematorium and columbarium within the cemetery compound to expand the capacity of the already overcrowded public burial ground.
This is part of the plan to redevelop the public cemetery and transform its presently congested and disorderly state into a modern, aesthetically designed and structured final resting place.
The plan was prepared by the City Environment and Parks Management Office in response to Mayor Benjamin Magalong’s call for the rehabilitation of the city cemetery.
In the project proposal submitted by Cepmo Department Head Rhenan Diwas as prepared by Public Services Officer III Arturo Killip, the necessity of providing crematory and columbarium services was stressed noting that these have now been an accepted alternative to the common way of disposal and treatment of the human remains.
“As more dead people are buried in the cemetery, orderliness, aesthetics and public comfort were given less importance. Despite the setback, the city government must accommodate requests for burial spaces and for this reason, the cemetery today is disorderly. It was only in 2012 that there was a tenancy period of five years. Thus this proposal aims to control the allocation, arrangement and tomb construction that should put orderliness in the already congested city cemetery,” the proposal read.
Apart from the crematorium and columbarium proposals, other recommendations made for the redevelopment were the installation of apartment/condominium type niches, reclaiming of the areas occupied by informal settlers and developing a new cemetery site.
Implementation will be subject to procedures spelled out in the project proposal, foremost the creation of a technical working group to formulate the redevelopment concepts and plans, enactment of an ordinance, formulation of the master plan, selection of a development concept before the final implementation.
The city cemetery, which started operations in 1932, has an approximate land area of 9.16 hectares with only 58 percent available as burial site.
A study said the carrying capacity of the cemetery is about 10,000 burial lots to make it safe, comfortable and aesthetically appreciative. However, the 2011 survey showed there were already 19,725 burials done.
Despite this status, burials continue to be done out of necessity subject to remedial measures adopted by the department.
The Cepmo said the city government is aware that cemetery is an amenity that it should provide thus the fees and rentals imposed are way below from that of the private cemeteries, to wit: burial fee – P500; lot rental – P100 for five years; exhumation fee – P300; condominium tomb: lower and top levels – P12,000; and middle tombs – P15,000.
On the other hand, the average cost of gravesite plot at memorial parks is P70,000 and the average cremation cost is P25,000.
According to Cepmo records, there are other cemeteries and memorial parks in the city which are either privately managed, managed by the barangay, or managed by a clan: Everlasting Memorial Park, Pyramid Memorial Park, Paradise Garden, and Kias Cemetery, all in Kias barangay, The Sanctuary in Heaven’s Garden – Loakan Proper,  Baguio Memorial Park – Naguilian Road, Ambiong cemetery, Bakakeng  cncestral cemetery, Loakan cemetery, Benin cemetery at Pinsao Proper, Sadanga cemetery at Ambiong, Baguio City Veteran’s Cemetery, Loakan Road.
Crematoriums are Pyramid Memorial Park Crematorium, Beyond the Sunset, and Sanctuary in Heaven’s Garden. – Aileen P. Refuerzo



",government public crematorium columbarium cemetery capacity already public burial plan public cemetery congested disorderly aesthetically final plan prepared parks cemetery project proposal cepmo department prepared public services necessity columbarium services way cemetery orderliness public despite government burial cemetery disorderly five years thus proposal tomb orderliness already congested cemetery proposal crematorium columbarium redevelopment condominium cemetery site implementation subject project proposal redevelopment plan final implementation cemetery burial site said capacity cemetery burial aesthetically already burials done despite burials done necessity subject department cepmo said government cemetery thus way cemeteries burial fee five years fee condominium tomb average cost memorial parks average cost cepmo cemeteries memorial parks managed managed barangay managed memorial park pyramid memorial park garden kias cemetery kias barangay sanctuary heaven garden loakan proper memorial park road ambiong cemetery cemetery loakan cemetery cemetery proper cemetery ambiong cemetery loakan road pyramid memorial park crematorium sanctuary heaven garden
5,Mangan Taku back at Burnham,2023-04-23,"The 2023 staging of the “Mangan Taku” (Let’s Eat) food fair will be conducted at the Rose Garden in Burnham Park where the gastronomic event was first held.
Mangan Taku, which will be held from April 17 to 26, is organized by the Department of Tourism-Cordillera.
In Executive Order 46 s. 2023 signed by Mayor Benjamin Magalong, the City Environment and Parks Management Office, General Services Office, and Baguio City Police Office were tasked to assist the DOT in the staging of the activity.
The fifth edition of the “Mangan Taku” will highlight “tapuey” or rice wine in a cook fest from April 21 to 24.
Mangan Taku was institutionalized in 2019 as part of the summer vacation activities in Baguio.
The lead implementing agency is the DOT-CAR in partnership with the city government of Baguio.
The activity is pursuant to Proclamation 469 s. 2018 declaring April as the “Buwan ng Kalutong Pilipino” or Filipino Food Month to promote the appreciation, preservation and promotion of Philippine culinary traditions and treasures, ensuring transfer of knowledge to future generations and to support the various industries, farmers, and agricultural communities. – Jessa Mardy P. Samidan



",staging mangan taku food held mangan taku held office office office dot staging activity mangan taku mangan taku dot activity food
6,BUILD YOUR OWN SEPTIC TANKS,2023-04-23,"BUILD YOUR OWN SEPTIC TANKS — Residents in this area of Sariling Sikap, San Carlos Heights in Irisan were directed to construct their own individual septic tanks to prevent health and sanitation risks posed by draining their wastewater onto the road. The City Environment  and Parks Management Office team accompanied by Punong Barangay Arthur Carlos inspected the problem area after receiving complaints from concerned citizens. — CEPMO photo



",septic tanks area carlos septic tanks carlos area
7,Permits office releases report on top businesses in Baguio,2023-04-23,"Businesses under the wholesale, retail, and repair of motor vehicles and motorcycles top the list of establishments that duly registered their business for the first quarter of the year.
This was based on the Philippine Standard Industrial Classification (PSIC) which serves as a guide in the classification of establishments according to their activity for economic analysis.
The Permits and Licensing Division showed 16,850 business permits were issued from January to March where 16,525 are renewal of permits and only 598 are new establishments registered with the city.
Of the total permits issued, the industry section on wholesale, retail, repair of motor vehicles and motorcycles composed most of the cluster of establishments at 8,186 followed by accommodation and food services at 5,183.
There are 620 permits issued under the industry section on other service activities (as a residual category) which includes activities of membership organizations, repair of computers and personal and household goods, and a variety of personal service activities not covered elsewhere in the PSIC classification.
Meanwhile, there are 588 permits issued under real estate activities; 401 financial and insurance activities; 388 administrative and support service activities; and 326 under manufacturing industry.
Other classification of businesses in Baguio based on the permits issued by the PLD are 273 professional, scientific and technical activities; 209 human health and social work activities; 207 construction; 141 education; 136 transport and storage; 104 arts, entertainment and recreation; 92 information and communication; 24 electricity and gas; 22 water supply, sewerage, waste management; two under agriculture and one engaged in mining and quarrying.
The PLD hopes to surpass the 23,231 business permits issued last year as the city government continues to innovate on means and ways for a more business-friendly environment.                                                                           
In adherence to digital governance and ease of doing business, business owners who provide QR PH cashless service as an alternative mode of payment for their customers shall be granted a one-time 2.5 percent discount on business tax on the first year of adoption of Ordinance 71, s.  2022.
To avail of the discount, business owners need to present a picture of the QR Code displayed in front of the establishment or at their counter to the Permits and Licensing Office at City Hall subject to verification. – Jessa Mardy P. Samidan



",businesses wholesale retail repair motor vehicles motorcycles establishments registered business first year based classification psic classification establishments permits licensing business permits issued permits establishments registered permits issued industry section wholesale retail repair motor vehicles motorcycles establishments permits issued industry section service activities activities repair personal personal service activities psic classification permits issued activities activities service activities industry classification businesses based permits issued pld activities activities one pld business permits issued year business business business owners service one discount business first year discount business owners permits licensing
8,Council okays edict declaring Baguio as a Character City,2023-04-23,"The city council approved an ordinance that declared Baguio as a Character City.
The ordinance, authored by Councilor Isabelo Cosalan, Jr., made it a policy of the local government to adopt a character-based approach in governance where every citizen, community leaders, government officials, and employees, are models or exemplars of good character.
He added the principal purpose of the ordinance is the elevation, advancement, promotion, and development of Baguio as a Character City.
The ordinance mandated the creation of the Baguio City Character Council that will be designated by the city mayor through an executive or administrative order with a term of three years unless revoked earlier.
The council is composed of the city mayor as chairperson and action officer, representative of an accredited civil society organization from the faith community as co-chairperson with the vice mayor serving as vice chairperson.
The members of the council shall include all members of the city council, a representative from the Office of the Congressman, president of the Liga ng mga Barangay-Baguio City, president of the Sangguniang Kabataan Federation, representatives from the local business sector duly accredited by the local government, representatives from the Department Education, Commission on Higher Education, Technical Education and Skills Development Authority, representatives from the local academe o schools, representatives from the law enforcement agencies, representatives from the local information officer and media, and other personalities deemed necessary s determined by the council once convened by the city mayor.
Among the functions of the council are to promote values towards attaining the vision and mission of the local government as a Character City; develop programs and recommend actions for the improvement of the operations and implementation of the Character City programs; and conduct, coordinate and supervise orientation, workshops, seminars, trainings, conferences, conventions, yearend assessment and summits on character development among others.
The council is also tasked to organize and manage the celebration of the Character City Week which is set every third week of September; institutionalize the Character program; and formulate the manual on character building and development.
The ordinance provided the amount necessary to implement the provisions of the measure shall be appropriated in the annual budget of the City Mayor’s Office.
The ordinance stated the role of character has always been the key factor in the rise and fall of nations. It is the only effective bulwark against internal and external forces that lead to a country’s disintegration or collapse.
It added the mission of the Baguio Character Council is to make Baguio a God-loving and God-fearing City with determined leaders in partnership with self-reliant and disciplined citizenry by strengthening the ethical and spiritual values and develop the moral character of the populace. – PIO release



",council ordinance character ordinance local government character every community leaders government character added ordinance development character ordinance character council mayor council mayor chairperson officer representative accredited community chairperson vice mayor vice chairperson members council shall members council representative office president president representatives local accredited local government representatives education education education development representatives local representatives representatives local officer necessary determined council mayor among council values mission local government character develop programs character programs character development among council character week every week character character development ordinance necessary shall mayor office ordinance character added mission character council god god determined leaders values develop character
9,59 percent of male dorm PDLS are drug offenders,2023-04-23,"Fifty-nine percent of the residents of the Baguio City Jail-Male Dorm are drug offenders.
Jail Superintendent April Rose W. Ayangwa, warden of the Baguio City Jail-Male Dorm, said 216 out of the 376 persons deprived of liberty are drug offenders.           
She attributed this to the dedication of the Philippine National Police and the Philippine Drug Enforcement Agency in their sustained implementation of the government’s enhanced anti-illegal drug campaign.       
Ayangwa said following drug cases on top of the list of PDLs is rape, which accounts for 10.16 percent.        
She said the facility continues to implement programs such as therapeutic community modality program, Katatagan, Kalusugan at Damayan sa Komunidad, alternative learning system, drug symposia and lectures on the ill effects of illegal drugs, outpatient drug treatment and rehabilitation program by the Baguio General Hospital and Medical Center, and other development opportunities in line with the government’s program on the whole-of-agency approach to eradicate illegal drugs in the country and the Buhay ay Ingatan Droga’y Ayawan advocacy program of the Department of the Interior and Local government.
On the data of PDLs with special needs, Ayangwa said there are 26 Muslim residents, 14 members of the LGBTQIA+ community, 10 senior citizens, eight diabetic patients, and four tuberculosis patients.        
She said the PDLs had already been separate and have their own dorms inside the male dorm and that their needs are being addressed by the jail personnel on duty.        
Ayangwa said regular treatment and monitoring of all PDLs under medication for tuberculosis, hypertension, psyche, and other related concerns are being administered by health personnel.        
She said the male dorm will continue to provide various training skills for the development of the PDLs as part of the vision of the Bureau of Jail Management and Penology as an agency capable of being highly efficient in providing humane safekeeping and developmental opportunities to PDLs.            
At the start of the quarter, the male dorm has coordinated with the Technical Education and Skills Development Authority and other service providers where the facility manages skills training such as tile setting, dressmaking, rattan weaving, and bayong-making.           
Ayangwa said through these trainings, the PDLs were able to produce exceptional products which the public can check in the facility’s official Facebook page or they can directly visit the facility for orders.            
She added the increase in livelihood programs presents income-generating activities to PDLs during their confinement where they are able to earn for their personal upkeep and for financial support to their families. – PIO release



",percent residents jail male dorm drug offenders jail ayangwa jail male dorm said drug offenders philippine philippine drug agency government illegal drug ayangwa said drug pdls percent said facility programs community program drug illegal drugs drug treatment program development opportunities government program agency illegal drugs program government pdls needs ayangwa said residents community patients tuberculosis patients said pdls male dorm needs jail personnel ayangwa said treatment pdls tuberculosis personnel said male dorm training skills development pdls jail agency opportunities pdls male dorm skills development facility skills training ayangwa said pdls able facility facility programs pdls able
10,Sabsabong Ti Mayo levels up,2023-04-23,"This year’s Sabsabong ti Mayo will feature floral-gastro fiesta.
From May 6 to June 4, floral sculptures, food trucks, local cuisine, and cultural performances will be on display and sold at the Rose Garden, Burnham Park.
Mayor Benjamin Magalong issued Executive Order 47, s. 2023, declaring the period from May 6 to June 4 as the Sabsabong ti Mayo 2023: Floral Gastro Fiesta.
Soft-opening will be on May 5, while the opening program and judging of entries for the floral sculpture competition will be on May 6 at 2 p.m. followed by an acoustic and folk concert at 3 p.m.
Other activities are Globe Day on May 13; cosplay competition on May 20; and the Cor De Mayo (Cordilleran May Festival) by the University of the Cordilleras on May 27.
The event is in line with the declaration of Baguio City as a creative city in the field of crafts and folk arts. – Jessa Mardy P. Samidan



",sabsabong mayo floral gastro fiesta floral sabsabong mayo floral gastro fiesta opening opening floral competition folk competition mayo folk
11,Congestion rate at Baguio City Jail posts improvement,2023-04-23,"The congestion rate of male dorm of the Baguio City Jail has improved to 138 percent in April this year compared to the 162 percent congestion rate in the same period last year.    
Jail Superintendent April Rose W. Ayangwa, warden of the Baguio City Jail Male Dorm, said as of April 17, the facility had a population of 365 persons deprived of liberty who are distributed in 27 rooms within the 1,295-square meter floor area of the jail.            
She said with an area of 1,540 square meters, the Baguio City Jail Male Dorm is one of the congested jails in the Cordillera based on the standards of the United Nations where the space for each PDL is 4.7 square meters.       
Ayangwa said the decrease in the facility’s congestion rate was made possible with the diligent efforts of the courts of law where 371 PDLs were released from January to December last year out of the 404 PDLs that were committed for detention.       
She said there are 400 PDLs detained in the facility when she assumed office in January 2023 and from January to April 16 this year, a total of 180 offenders were released while 116 were committed for detention.           
She said the courts are doing all interventions to help in decongesting the jail to ensure it will be compliant with the UN standards.
Ayangwa assured stakeholders the Baguio City Jail Male Dorm will be able to provide more developmental opportunities to the PDLs to prepare them for their reintegration to society.           
She said the proposed construction of the Baguio City Jail male and female dorms at Barangay San Luis village covering an area of 3,750 square meters pursuant to a deed of usufruct between the city government and Bureau of Jail Management and Penology is yet to be included in the agency’s 2024 budget.          
She expressed the BJMP’s gratitude to the city government for the support in the proposed construction of the building to address the facility’s congestion. – PIO release



",congestion rate male dorm jail percent year percent congestion rate last year jail ayangwa jail male dorm said facility square area jail said area square meters jail male dorm standards square meters ayangwa said facility congestion rate courts pdls released last year pdls committed detention said pdls facility year released committed detention said courts jail standards ayangwa jail male dorm pdls said proposed construction jail male area square meters government jail government proposed construction facility congestion
12,CBCP joins call for gov’t to declare climate emergency,2023-04-23,"The social arm of the Catholic Bishops’ Conference of the Philippines (CBCP) has joined the call for the government to declare a climate emergency.
Fr. Antonio Labiao, Caritas Philippines executive secretary, said they call on the government to take action on how to address the effects of climate change.
“We are calling for a swift transition to a low-carbon economy, the protection of natural habitats and ecosystems, the adoption of just, pro-people, and sustainable economic development practices across all sectors,” Labiao said in a statement issued in line with the celebration of Earth Day on April 22.
“We invite everyone to join us calling out our leaders and to raise our voices for the dignity of our common home and for our future generations,” the Catholic priest added.
The appeal was also supported by the CBCP-Episcopal Commission on Health Care and CBCP-Office on Women, Council of the Laity of the Philippines, social action centers of dioceses and vicariates, Caritas offices, and Catholic schools.
Different climate advocates on April 21 marched to the Mendiola Peace Arch and asked President Ferdinand R. Marcos, Jr. to declare a climate emergency.
The groups claimed with climate change becoming increasingly evident through extreme weather events, sea-level rise, and the loss of biodiversity, there is an urgency to act on the ongoing climate crisis.
“We are declaring that we are now in a state of climate emergency and we commit to do sustained and bold actions to help slow down environmental deterioration, with sustained regenerative actions to restore ecological balance,” said Yolanda Esguerra, member of the Rights of Nature (RoN) PH Steering Committee.
The groups also called on the government to “take the lead in fulfilling its mandate to protect the well-being of both nature and people, ensuring that a clear and comprehensive plan containing strategic and urgent actions is put in place to address climate change impacts.”
“All citizens should take action. Climate change is becoming an existential issue globally. Pope Francis calls on all peoples to an ecological conversion. Immediate actions to address the climate emergency should be our utmost concern,” said John Din of Columban Missionaries and National Coordinator of Laudato Si Movement.
The RoN PH with other civil society groups initiated the Citizen’s Declaration of Climate Emergency, a year-long campaign to mobilize Filipinos in addressing climate crisis, highlighting the responsibility and accountability of government leaders and duty bearers to respond to the crisis but also doing their share to protect the environment. – PNA



",social catholic philippines cbcp call government declare climate emergency labiao caritas philippines said call government take action address climate change calling people labiao said calling leaders catholic also cbcp cbcp philippines social action caritas catholic climate declare climate emergency groups climate change becoming climate crisis climate emergency sustained actions sustained actions ecological said nature ron groups also government take protect nature people actions address climate change take action climate change becoming ecological actions address climate emergency said ron groups climate emergency climate crisis government leaders crisis also protect
13,City farm vies for nat’l award,2023-04-23,"Baguio’s entry to the National Search for Best Urban and Peri-Urban Farm 2023 was shortlisted in the top five list, according to a local agriculture official.    
Senior agriculturist Marcy Tabelin of the City Veterinary and Agriculture Office said the city’s hopeful bet is Fit & Fab Farm owned by Margareta Joseph and located at Lucnab barangay.    
Winners of the prestigious competition will be announced either during the Urban Agriculture Summit slated on May 4 and 5 in Cebu or on a later date.    
A letter from Bureau of Plant Industry (BPI) Director Gerald Glenn Panganiban dated March 31 requested one nomination from each region to join the search in line with May as Farmers and Fisherfolks’ Month.     
“This activity will put into focus and recognize the efforts of urban farmer individuals, groups, and associations who have successfully implemented urban agriculture in their localities. It is hoped that this would encourage aspiring urban agriculturists and further promote urban and peri-urban agriculture in the country,” the letter stated.    
Tabelin said criteria for judging are production and sales output per unit area, 20 percent; records management, traceability and documentation, 20 percent; good agricultural practices, 20 percent; innovation/creativity, 15 percent; number of technologies showcased, 10 percent; competency/training, 10 percent; and number of individuals reached, five percent.      
A team from the BPI central office made an ocular inspection at the Fit & Fab Farm last March 19. – Gaby B. Keith



",search urban peri urban farm five agriculture tabelin agriculture office said fit fab farm urban agriculture letter bpi search urban individuals urban agriculture urban urban peri urban agriculture letter tabelin said percent percent percent percent number percent percent number individuals five percent bpi office fit fab farm
0,ARAW NG KAGITINGAN,2023-04-16,"ARAW NG KAGITINGAN — Police Regional Office-Cordillera Director B/Gen David Peredo Jr. and Mayor Benjamin Magalong joined the few surviving World War II veterans and other guests in observing the Araw ng Kagitingan and Veterans Week at the Veterans Park in Baguio City on April 11. — PRO-Cor photo



",araw kagitingan veterans araw kagitingan veterans veterans
1,Illegal structures within Teachers Camp removed,2023-04-16,"The City Demolition Team and City Anti-Squatting and Illegal Structures (Basis) demolished on April 13 three structures built within the Teachers’ Camp reservation without the requisite building permit and consent to construct.The City Buildings and Architecture Office through the City Demolition Team led by Engr. Donald Gas-ib implemented Demolition Order 4, s. 2022 issued by Mayor Benjamin Magalong based on the complaints of the National Housing Authority.The NHA is the administrator of Proclamation 613, s. 2004 which segregated and reserved 3.4 hectares of land within the Teachers’ Camp reservation for housing site purposes and for disposition to qualified beneficiaries.The issue dates back in 2016 when NHA Region 1 and Cordillera Manager Eduardo G. Leano requested the CBAO for the immediate inspection and issuance of demolition order to an ongoing construction within the proposed/identified access road of Proclamation 613.Records of the Project Interagency Committee (PIAC) of the NHA show notices of violation have been issued to the owner of the structure for them to stop their ongoing construction.Considering the investigation was conducted several years back, the Anti-Squatting and Anti-Illegal Structures Committee requested the CBAO to conduct re-investigation on the structures within the proclamation to have an updated report as to the identity of the owners and the dimension of the structures and materials used.On Oct. 19, 2021, the CBAO submitted a memorandum containing the result of the re-investigation revealing 11 structures within Proclamation 613 of NHA while the rest of the structures are within Proclamation 290 under the jurisdiction of the Department of Education particularly Teachers’ Camp Administration.Four structures within Proclamation 613 are the priority concern of NHA described as follows:One-story residential structure made of reinforced concrete, concrete hollow block and galvanized iron sheets with approximate measurements of eight by eight meters in footprint area, allegedly constructed sometime in 2012;One unit comfort room made of wood, concrete hollow block and galvanized iron sheet with approximate measurements of 2.5m by 1.5m in footprint area, allegedly constructed sometime in 2016;An unfinished one-story residential house made of reinforced concrete with approximate measurements of 9m by 6m in footprint area; andOne-story shanty made of wood and galvanized iron sheet with approximate dimension of 5m by 3m footprint area, allegedly constructed sometime in 2010.Per certification issued by CBAO dated Oct. 18, 2021, no building permit was issued to the owners of the structures resulting in the issuance of notices of violation and the committee reiterated voluntary demolition.However, only the owner of the shanty voluntarily demolished their structure as of December 2021.On Dec. 2, 2021, one of the respondents requested the NHA if it is possible for the government to sell to the former that portion of the lot that they have occupied.But the representatives of NHA answered in the negative since this would be a direct violation of Republic Act 7279 or the Urban Development Housing Act of 1992.Also under the Policy Guidelines on Beneficiary Selection and Disposition of Homelots adopted by the PIAC, all the three structure owners are not actual occupants within the Baguio Teachers Camp reservation.The city government will implement an aggressive operation for the demolition of illegal structures within reservations as well as stoppage of ongoing constructions without building permits. – Jessa Mardy P. Samidan



",demolition team anti squatting illegal structures demolished three structures within teachers camp reservation without building permit demolition team demolition order issued housing nha proclamation within teachers camp reservation housing disposition back nha requested cbao issuance demolition order ongoing construction within proclamation committee piac nha notices violation issued owner structure ongoing construction investigation back anti squatting anti illegal structures committee requested cbao investigation structures within proclamation owners dimension structures oct cbao investigation structures within proclamation nha structures within proclamation teachers camp structures within proclamation nha one story residential structure made reinforced concrete concrete hollow block galvanized iron approximate measurements eight eight footprint area allegedly constructed sometime one made wood concrete hollow block galvanized iron sheet approximate measurements footprint area allegedly constructed sometime one story residential made reinforced concrete approximate measurements footprint area story shanty made wood galvanized iron sheet approximate dimension footprint area allegedly constructed sometime issued cbao oct building permit issued owners structures issuance notices violation committee demolition owner shanty demolished structure one requested nha government nha violation act housing act disposition piac three structure owners within teachers camp reservation government demolition illegal structures within ongoing without building
2,BWD’s interconnection project augments supply,2023-04-16,"UP AND RUNNING — The Baguio Water District technical team rendered overtime on Holy Thursday to complete the testing of the pipeline interconnection of the BWD Malvar tank and Old Lucban barrel. The interconnection project aims to augment water supply towards the Buyog and Pinsao-2 deepwells due to the seasonal decline of water sources during the dry season. — Mark Victor Pasagoy
The Baguio Water District has completed the pipeline interconnection project at the Old Lucban deepwell on April 6.The project, initiated on April 4, aims to augment the reduced water yield of the Buyog and Pinsao-2 deepwells.Problem areas in parts of Pinget, Pinsao, Fairview, Magsaysay, Quirino Hill, and Tam-awan are expected to have better water supply during water diversion schedules.Primarily, water will be sourced from the Malvar deepwell and will be conveyed to augment the Old Lucban deepwell.Earlier this year, BWD has been closely monitoring the gradual reduction of water produced by water sources at Buyog deepwell and spring and Pinsao-2 deepwell. As of this date, the yield reduction of the two water sources has affected the normal water supply of the areas to which these are diverted.Through the interconnection project, BWD targets to sustain the equitable distribution of available water supply in the north-north-eastern side of Baguio City.BWD also activated its contingency measure to augment the water supply at the BWD Sanggalang tank by means of BWD water delivery trucks. During normal operations, the Sanggalang tank fills up an average of four to 6.6 meters water level, but this was temporarily affected due to the yield reduction at the Easter, Tam-awan, and Pinsao deepwells.Meanwhile, BWD advised the public to continue observing water conservation practices as supply is affected by the seasonal decline in water supply experienced during the dry season and will be further affected by the anticipated El Niño phenomenon as earlier announced by the Pagasa.An artificial increase in water demand is currently experienced due to the influx of tourists, returning residents, and transients. Nevertheless, the BWD announced it is exerting its best efforts to minimize these effects and is doing all it can to serve its constituents through water supply improvement and expansion projects.BWD customers are advised to install water storage facilities such as tanks, drums, or other containers with a three-day backup water supply as it implements a rationing system. Further, the installation of a sump tank and boosters to pump water to their elevated water storage facilities is highly encouraged as this comes as part of the standard water system set-up especially at highly elevated residences.Commercial establishments, on the other hand, are advised to apply for additional or enlargement of their current tapping should their daily water demand increase.For concerns and water deliveries, customers are advised to reach the following numbers which can be reached 24/7: 442-3218, 442-4929, 0908-8651-504, 0917-679-4929, 0922-840-9765, or send a message at BWD_Customer Relations Facebook page or send an email to [email protected] – Press release



",water district pipeline interconnection bwd malvar tank old lucban interconnection project aims augment water supply buyog pinsao deepwells due seasonal decline water sources dry season water district pipeline interconnection project old lucban deepwell project aims augment water yield buyog pinsao deepwells areas pinsao tam awan water supply water water malvar deepwell augment old lucban deepwell earlier bwd reduction water water sources buyog deepwell pinsao deepwell yield reduction water sources affected normal water supply areas interconnection project bwd water supply north north bwd augment water supply bwd sanggalang tank bwd water normal sanggalang tank water affected due yield reduction tam awan pinsao deepwells bwd advised water supply affected seasonal decline water supply experienced dry season affected earlier announced increase water demand experienced due bwd announced water supply bwd customers advised water storage facilities water supply system tank water elevated water storage facilities highly water system highly elevated advised water demand increase water customers advised send bwd send email email
3,Dads approve P185 M fund for various projects,2023-04-16,"The Baguio City council has approved the allocation of more than P185 million to fund various projects listed under the supplemental Annual Investment Plan (AIP), with the exception of two items worth P7M.The supplemental budget, worth P185,120,000, covers 16 projects, but the council deferred the approval of the items concerning the development of tourist rest site at Kennon Road worth P5M and the processing of titles of parcels of land at Burnham Park in favor of the city government, which is worth P2M.Councilor Mylen Yaranon said there was a need to ensure if the Tourism Infrastructure and Enterprise Zone Authority (Tieza) approved the planned titling of portions of Burnham Park in the name of the city government.Under the supplemental budget, the planned titling under the city government includes the lots covering Melvin Jones, Burnham Lake, Orchidarium, Children’s Park, part of Skating Rink and Tennis Court, and parts of Pine Trees of the World Park.For the development of the tourist rest site along Kennon Road, Councilor Benny Bomogao said the council needs to be clarified on the lease agreement the city has to sign with the Department of Environment and Natural Resources on the use of the land for the establishment of tourist rest area.The lease agreement provides the city government must pay an annual lease of P250,000 to the DENR for the Kennon Road tourist rest area.City Budget Officer Leticia Clemente said she had no prior knowledge about the city’s lease agreement with the DENR.The council invited the Department of Tourismand the DENR in its next session to update members if Tieza already gave its approval for the titling of parts of Burnham Park and for the DENR to clarify the lease agreement.The other projects to be funded by the supplemental budget are the safe and sound cities program in Baguio worth P8M; proposed Engineer’s Hill Barangay Multipurpose Complex, P10M; purchase of furniture and fixture for the newly constructed Aurora Hill Super Health Center, P4M; and repair and renovation of the vacant building at Orchidarium, Burnham Park for the livelihood of persons with disability of Burnham-Legarda-Kisad barangay, P2.3M.The fund is also intended for the updating of the city’s Comprehensive Land Use Plan/City Development Plan worth P1M; construction of a drainage canal at an alley in Ambiong P300,000; repair and improvement of drainage system at Happy Homes Old Lucban, P9.6M; improvement of Asin District Health Center, P3M; improvement of City Camp Central Health Center, P1.8M; and classroom building renovation at Pinsao Elementary School, P4.5M.The supplemental budget will also fund the documentary stamp tax and transfer of property of the Baguio Convention Center worth P15M, the proposed livestockecological market building at Dontogan barangay, P108M; and restoration of eroded riprap and portion of road at Honeymoon worth P620,000.The supplemental budget was sourced from the continuing appropriations of 2020 with P108M; the 2022 surplus of the general fund, P76.5M; and from the Local Disaster Risk Reduction management Trust Fund, P620,000. – Jane B. Cadalig



",council approved fund projects supplemental annual plan items worth supplemental budget worth projects council approval items development tourist rest site kennon road worth land burnham park government worth councilor said tieza approved planned titling burnham park government supplemental budget planned titling government burnham orchidarium park parts park development tourist rest site kennon road councilor said council lease agreement department use land tourist rest area lease agreement government annual lease denr kennon road tourist rest area budget said lease agreement denr council department denr tieza approval titling parts burnham park denr lease agreement projects supplemental budget worth proposed hill barangay hill health center repair renovation building orchidarium burnham park burnham barangay fund also land use plan development plan worth drainage repair improvement drainage improvement health center improvement health center building renovation supplemental budget also fund center worth proposed building barangay road worth supplemental budget fund fund
4,Decreased crime volume reported over Holy Week,2023-04-16,"The Baguio City Police Office headed by City Director Col. Francisco Bulwayan Jr. managed to keep crimes under control during the Holy Week despite the maximized tourism and economic activities in the city.Bulwayan said records showed that the crime volume decreased by 27.77 percent or 10 incidents for the period of April 3 to 9 as compared to the crime figure on April 10 to 16.Mayor Benjamin Magalong commended the BCPO and other government and private groups and individuals who served during the Holy Week exodus, saying their services were instrumental to the peaceful and orderly observance of the Lenten season and tourism activities in the city.Index and non-index crimes both went down.For index crimes, the BCPO documented two incidents this year compared to four last year or a 50 percent decrease. Crimes recorded under this type were robbery and physical injury and murder.For non-index crimes, seven crime incidents were recorded this year as against last year’s 12 or a drop of 41.67 percent. Non-index crimes committed during the period were alarm and scandal, arson of property for small value, discharge of firearm, grave coercion, malicious mischief and violations of anti-child abuse and anti-gambling laws.As to traffic incidents, the recorded cases were 12 reckless imprudence resulting in damage to property, four reckless imprudence resulting in physical injuries, and one case of reckless imprudence resulting in homicide. Last year, there were 17 reckless imprudence resulting in damage to property cases and three reckless imprudence resulting in physical injuries.Bulwayan attributed the decrease in crime volume to the increased number of personnel and volunteer groups deployed composed of 1,574 personnel and strict implementation of enhanced management of police operations like checkpoints, Oplan Bakal Sita, police presence, foot patrol and mobile patrol. – Aileen P. Refuerzo and Mileyvonne Tiamzon



",police bulwayan crimes holy week tourism activities bulwayan crime volume percent incidents period compared crime bcpo groups holy week tourism activities index non index crimes index crimes bcpo incidents year compared four last year percent decrease crimes recorded physical non index crimes crime incidents recorded year last year percent non index crimes period property anti anti incidents recorded cases reckless imprudence resulting damage property four reckless imprudence resulting physical injuries reckless imprudence resulting last year reckless imprudence resulting damage property cases reckless imprudence resulting physical injuries bulwayan decrease crime volume personnel groups personnel police police patrol patrol
