,title,date,content
309,DepEd to build toilets for LGBTQIA+ learners,"MARCH 19, 2023","  A separate toilet to address the hygiene needs of teenage female learners and students who are members of the LGBTQIA+ is being implemented by the Department of Education-Cordillera.
DepEd-CAR Gender and Development Programs head Sasha Joseph Daganos said the initiative is under the “Project Handog (Hygienic and opulent restrooms for girls) para kay Juana sa Cordillera + LGBTQIA”  which aims to build three toilets: Regular toilet for teenage females, another for teenage females to manage their menstrual hygiene, and the third is for the LGBTQIA+ learners.
A member of the LGBTQIA+, Daganos shared in a press conference the initiative was crafted based on the feedback gathered from the schools division offices of the region.
At present, the schools divisions of Ifugao, Benguet and Mountain Province have signified to implement the project with Ifugao having already constructed the three-toilet facility.
The Ubao National High School in Aguinaldo, Ifugao will soon launch the first three-toilet project in the region on March 20.
The regular toilet will have the usual amenities while the menstrual management toilet will have a shower room and another area for the female learners to change their menstrual pads or simply to rest as it will be provided with chairs.
The third room is designed for the LGBTQIA+ learners with one partition to cater to trans males and trans females.
Daganos said the project, specifically the toilet for LGBTQIA+ students, aims to prevent bullying of members of the LGBTQIA+ in schools.
Although there are no grave reports of the cases of bullying against LGBTQIA+ learners, she said there are still cases being reported which they needed to take action.
“We are into inclusivity, kung hindi natin gagawin ngayon kailan pa? We are thankful for the support of DepEd-CAR Director Estela Cariño in not only serving the needs of the boys and girls but also the LGBTQIA+ learners,” Daganos said.
DepEd-CAR is still conducting inventories on the number of students belonging to the LGBTQIA+ to craft more programs to cater to their needs more than the construction of toilets.
On the menstrual hygiene of female learners, Daganos said they are appealing to civil society organizations or private individuals who would like to donate or provide menstrual pads for these learners.
She said many teenage female learners struggle to provide for their own menstrual pads due to its high cost and this sometimes prevents them from going to school.
The construction of toilets is also part of the provision of DepEd for a clean restroom for students, as clean toilets are also a critical part of the learning experience of students.
The DepEd-CAR is hoping to see other schools divisions offices replicating the effort of Ifugao to cater to students’ hygiene needs. – Ofelia C. Empian  "
310,INDEFATIGABLE,"MARCH 19, 2023",INDEFATIGABLE — Police have been in the forefront of the ongoing cleanup drive at Blocks 3 and 4 of the city public market. They are also assisting personnel of City Hall in constructing temporary stalls for affected vendors. — PRO-Cor photo   
311,DepEd extends use of Teachers’ Camp road to ease bottleneck,"MARCH 19, 2023","  Vice President and Education Secretary Sara Duterte again approved Mayor Benjamin Magalong’s request to open the inner road at Teachers’ Camp to private vehicles effective immediately until May 31.
Magalong thanked the Vice President for understanding the necessity of the move, especially as the city is preparing for the summer, another peak tourist season.
“Please be informed that your request to continually use the inner street of the Baguio Teachers’ Camp as an alternative passage route for private vehicles traversing Leonard Wood Road until May 31 is approved effective immediately, with the observance of the same conditions approved during the past holiday season,” Duterte noted in a letter dated March 14.
The scheme first implemented for one month during the holidays allows private vehicles to pass through Teachers’ Camp’s inner street connecting Leonard Wood Road and South Drive Road from 6 to 9 a.m. and 4 to 7 p.m. on weekdays and 7 a.m. to 8 p.m. on weekends.
Duterte said the scheme should be implemented subject to close police monitoring during operational hours.
“This is to protect the safety and security of the premises as well as the motorists and pedestrians entering the area,” the Vice President said.
Baguio City Police Office Traffic Enforcement Unit Chief P/Maj. Zacarias Dausen said opening the inner road helps declog bottlenecks in the area such as Ilusorio Drive and Pacdal Rotund. – Aileen P. Refuerzo  "
312,CSWDO reports 9 cases of girls in conflict with the law,"MARCH 19, 2023","  The City Social Welfare and Development Office reported there were nine females who were involved in cases of children in conflict with the law (CICL) last year.     
CICL refers to a child who is alleged as, accused of, or adjudged as, having committed an offense under Philippine laws.         
Myrna Valencerina, CSWDO Gender and Development focal person, said they were among the suspects involved in the 82 CICL cases recorded last year.    
She said 61 cases remain un-filed while 21 cases have already been filed with the proper authorities.               
Valencerina said 28 cases are now undergoing intervention, 27 undergoing division, 22 cases currently undergoing the investigation process, while three cases have already been terminated.
A case had the suspect released on recognizance while another case was suspended for certain reasons.               
She said 73 male suspects belong to the 11 to 17 age group, seven female suspects belong to the same age bracket while two male suspects belong to the below 11 years old bracket. 
Among the offenses committed by the CICL are physical assault – 38, theft – 15, bullying – 12, rape – five, violation of Republic Act 9165 or the Comprehensive Dangerous Drugs Act – five, sexual assault – two, damage to property – two, murder/homicide – one, violation of RA 11313 or the Bawal Bastos Law – one, and violation of RA 9262 or the Anti-Violence Against Women and their Children Act – one.               
Fifty-four suspects underwent community-based intervention and diversion while 16 suspects were reintegrated to their families.
Diversion refers to an alternative, child-appropriate process of determining the responsibility and identifying ways of managing a CICL without resorting to formal court proceedings.
Valencerina said interventions had been provided to the CICL for them to be reformed.  
She appealed to parents to closely monitor the activities of their children so they can correct their behavior immediately. – PIO release  "
313,Dads repeal edict on some biz permit requirements,"MARCH 19, 2023","  The city council repealed the ordinance which required mployers, establishments and agencies to submit a Social Security System clearance prior to the issuance of a business permit.           
The ordinance states submission of SSS clearance prior to the issuance of a business permit is no longer necessary following the issuance of a joint memorandum circular by the departments of Interior and Local Government, Philippine Health Insurance Corporation, and Information and Communications Technology, which revised the procedures in the processing of business permits in all cities and municipalities.
Repeal of the ordinance is in compliance with Republic Act 11032 or the Ease of Doing Business Act. – PIO release  "
314,ADWAGAN RIVER ADVENTURE,"MARCH 19, 2023","ADWAGAN RIVER ADVENTURE — The Adwagan River, a tributary of the mighty Agno River, is being promoted as an eco-tourism destination by Barangay Ambuklao in Bokod, Benguet. The site, which has two nipa huts, a bamboo raft, and a wooden boat, which are for rent, is located below the bridge near the Ambuklao Dam reservoir. Contact Kagawad Brian Dalilis at 0928-839-7518 for more details. — Harley Palangchao   "
315,LGUs assessed for good governance practices,"MARCH 19, 2023","  Members of the Regional Assessment Team (RAT) of the Regional Development Council (RDC)-Cordillera convened on March 7 to validate and shortlist local government unit contenders for the Forwarding Local Autonomy Medal of Excellence (Flame) Awards for submission to the Regional Awards Committee.
Department of the Interior and Local Government Assistant Regional Director and RAT Chairperson Ruperto Maribbay, Jr. said the RDC passed Resolution 50, s. 2014 on the Flame Awards to give recognition to local governments that are able to achieve good governance and in their active participation in RDC-related initiatives.
It also serves as an initial step towards better appreciation and active involvement of LGUs in the region to the efforts of the RDC in managing regional development and in strengthening local-regional partnership towards the desired long-term foundation of regional autonomy, thus advancing equitable and sustainable physical, social, cultural, and economic development for improved quality of life of all Cordillerans.
For this year’s awards, which is held every three years, all 83 LGUs were assessed based on their accomplishments from 2019 to 2021.
Among the criteria are awards/citations received by LGUs in their efforts towards good governance, LGU support to RDC initiatives and advocacies on regional development and autonomy, and participation in RDC-led activities such as meetings and the Cordillera Month celebration.
The LGUs that reached a maximum overall point score of 75 points will be conferred with a medal of excellence.
In 2019, 13 LGUs were recognized during the Flame Awards. – Debbie E. Gasingan  "
316,MARKET INFERNO,"MARCH 19, 2023",MARKET INFERNO — Baguio residents witnessed how a huge fire gutted Blocks 3 and 4 of the city public market on the night of March 11 until the situation was declared under control in the morning of March 12. The incident has once again ignited the spirit of compassion and volunteerism as people from all walks of life came forward to help the affected vendors and their families get back on their feet. — Van Dicang (main photo)/Harley Palangchao and Neil Ongchangco (inset photos)   
317,FRESH TILAPIA OVERLOAD,"MARCH 19, 2023","FRESH TILAPIA OVERLOAD — Residents grill fresh tilapia caught off the Ambuklao Dam reservoir during the resumption of the Tilapia Festival in Ambuklao, Bokod, Benguet on weekend. The reservoir where fish cages were set up by fisherfolk produces quality and best tasting tilapia. — Harley Palangchao   "
318,Animal bite cases in Baguio increases,"MARCH 19, 2023","  The City Animal Bite Center at the City Health Services Office said animal bite incidents last year increased by four percent compared to the previous year.          
Agnes Johana Abad, City Animal Bite Center nurse, said last year there were 4,537 residents and 34 transients treated in the clinic for animal bites, which is 3.97 percent higher compared to the 4,219 animal bites recorded in the previous year.     
She said most of the animal bites the patients sustained were from pet dogs and stray animals.               
Abad said the sudden increase in animal bite cases in the city is due to the easing up of the community quarantine restrictions during the Covid-19 pandemic.
From 2018 to 2022, the center recorded 20,353 animal bites, with 2018 recording the highest at 5,482 animal bites.
At the height of the Covid-19 pandemic in 2020, the city recorded 3,806 animal bites and 3,278 animal bites pre-pandemic.        
The Irisan District Health Center reported the highest number of animal bites last year with 401, followed by the Lucban DHC with 354, Pinsao DHC – 321, Atab – 300, and Asin – 268.
DHC’s with the lowest number of animal bites cases were the Mines View, with 140, followed by Quirino Hill, with 116, and Scout Barrio – 93. – PIO release  "
319,CASH ASSISTANCE,"MARCH 19, 2023","CASH ASSISTANCE — The Department of Social Welfare and Development-Cordillera has distributed a total of P14.1 million to 1,410 vendors displaced due to the fire that gutted Block 3 and Block 4 of the city public market. Each beneficiary received P10,000 from the agency’s Assistance to Individuals in Crisis Situation fund. — DSWD-CAR photo   "
320,Baguio journo joins media regulation fora in Sweden,"MARCH 19, 2023","  STOCKHOLM, Sweden – A member of the Baguio Midland Courier editorial staff is one of the eight journalists from the Philippines currently undergoing media training here aimed at initiating change towards a more efficient and sustainable planning and implementation of self-regulation of the media.
Midland Assistant Editor Lita Jane Cadalig joined seven other fellows of the International Training Program (ITP) on Media Development in a Democratic Framework Asia 4 in the training held from March 5 to 15 in Sweden’s capital.
The ITP on Media Development, funded by the Swedish International Development Cooperation Agency and implemented by NIRAS Sweden, aims to enhance the fellows’ knowledge about media and freedom of expression in relation to media policy and self-regulation of the media sector; extend their professional national and international networks; increase their awareness of human rights, gender equality and security for journalists and other media actors; and increase their knowledge and capacity to initiate a structured long-term transformation work within and outside the respective organizations.
At the end of the training, fellows are expected to initiate projects geared towards the promotion and protection of the institutional frameworks which govern self-regulation of the media.
This is the second year the Philippines is participating in the ITP, which has been implemented in Asia for four years. The other ITP participants in Asia are from Bangladesh, Cambodia, and Vietnam.
To contribute to the development of self-regulatory frameworks for the media, fellows from the Philippines this year have aligned their change initiative to the project implemented by the ITP 2021 team, which is the establishment of media-citizen councils in various parts of the country.
This year’s fellows aim to enhance public awareness over the existing local media-citizen councils and mainstream self-regulatory mechanisms by engaging media stakeholders through dialogues and forums.
With a project title: “Media-Citizens Council: Front & Center, “the Philippine ITP 2022 envisions a media-literate citizenry aware of existing media councils as a self-regulatory mechanism geared towards restoring trust in journalism.
“As the previous ITP Philippines team sustains its efforts in establishing media-citizen councils across the nation, the 2022 team aims to enhance public awareness on the existence of such councils,” the group said.
“By promoting media industry collaboration and securing support from various stakeholders, the team aims to improve the visibility of media-citizen councils and bring them, along with the available self-regulatory mechanisms, closer to the public the media claims to serve.”
The team also noted multisectoral participation in media-citizen councils is essential since the councils’ purpose is to interact with the media audience.
Cadalig, who is also the vice chair of the Kordilyera Media-Citizen Council, was with Catherine Valente of The Manila Times, Janvic Mateo of Philippine Star, Bea Cupin of Rappler, Mia Embalzado-Mateo of the Cebu Citizens Press Council and University of the Philippines Cebu, Arlene Burgos of ABS-CBN News, Paul Soriano of the National Union of Journalists of the Philippines, and Francis Allan L. Angelo of the Iloilo-based Daily Guardian.
Gary Mariano, former chair of the Department of Communication of the De La Salle University, joined the team as its country facilitator. – Press release  "
321,14 RCDG returns intact items of market fire victim,"MARCH 19, 2023","  Organic personnel and reservists of 1401st Community Defense Center (CDC), 14th Reserve Community Defense Group, Reserve Command of the Philippine Army have been hailed as good Samaritans after returning recovered documents and cash to a victim of the fire at Baguio City Public Market that happened last March 11.
On March 13, the 1401st CDC Team were conducting a clean-up drive at the burned portion of Blocks 3 and 4 when they discovered unburned belongings at one of the stalls. They made an effort to look for the owner, who was later identified to be Rodolfo Estrada.
Estrada thanked the group for returning his documents and cash amounting to P7,800. He said he did not expect that there would still be left of his merchandise and belongings.
The 1401st CDC team and other volunteers continue to conduct clean-up drive at the market to speed up the cleaning and repair in the area so that stalls can be immediately restored.
PA group commander Col. Arnel Cabugon lauded the personnel and reservists for their deed.
“The reservists are organized and trained to render service without expecting remuneration. We will ensure that the reserve force in the different provinces of the Cordillera is always ready to provide the much-needed assistance in times of calamities and disaster,” he said. – Press release  "
322,RDC honors CAR’s 2022 Outstanding Volunteers,"MARCH 19, 2023","  The Regional Development Council recognized winners of the Cordillera’s Search for Outstanding Volunteer (SOV) 2022 during its first qurater full council meeting on March 9.
For the Individual Youth Category, regional awardee is Carmen Malabong of Ambasing, Sagada, Mountain Province. She is engaged in various outreach activities and in organizing youth leadership summits in different areas of Mountain Province.
A Bachelor of Science in Development Communication student at the Benguet State University, Malabong authored a book entitled “Footsteps” the proceeds of which she uses to fund her outreach activities.
Assistant Professor 1 Paul Joseph A. Nuval of Benguet State University is the winner for the SOV Individual Adult Category.
Nuval conducted donation drives and relief operations in disaster-stricken areas and provided voluntary and expert services to different government institutions and universities. He also provided educational assistance to students of BSU Buguias campus.
Another regional awardee is the Project 360 Organization Inc. of Virac in Itogon, Benguet for the Organization-Non-Profit Category.
The organization conducted gift-giving activities like school supplies to different schools the region and provided financial assistance to cover parent-teacher association fees and scholarships to selected students.  It also adopted a day care center which it regularly provided with school supplies and equipment.
For the Organization-Corporation Category, regional awardee is the Breastfeeding Care Center of the North with office in Baguio City.
Founded by Jocelyn Sagubo and Anne May Mendoza, the group provided voluntary services as resource speaker on breastfeeding awareness, lactation management training and maternal infant and young child feeding to the Department of Social Welfare and Development Pantawid Pamilyang Pilipino Program beneficiaries, barangays, and hospitals.
RDC-CAR Co-chairperson Edna Tabanda and vice chairperson and National Economic and Development Authority Regional Director Susan Sumbelling led other RDC sectoral committee officials in awarding the plaques of recognition to the awardees.
The SOV is an annual undertaking of the Philippine National Volunteer Service Coordinating Agency in partnership with NEDA regional offices. 
The search aims to recognize outstanding Filipino volunteers, individuals or organizations, for their exemplary performance and achievements in empowering communities and in promoting a culture of volunteerism. – Carlito Dar  "
323,"CBMS data sets transfer, March 27","MARCH 19, 2023","  The comprehensive Community-Based Monitoring System (CBMS) data sets from the Philippine Statistics Authority will be transferred to the city in simple ceremonies on March 27 at the Baguio Cultural and Convention Center.
As known from the City Planning, Development and Sustainability Office (CPDSO), the data was collected when CBMS was piloted in the city in October to December 2021. It was transferred to the national office, and now reverted to usable form by the local government unit.
CBMS is a grassroots and organized technology-based, collection, processing, validating, assessment and diagnostic tool of disaggregated data as to the causes of poverty in the barangay, municipality, city and provincial level. The results are used as bases for economic and social tools, and to formulate poverty alleviation and development programs such as government infrastructure and other projects.    
It is also a gauge for a local government unit’s greater transparency and accountability as to resource allocation or budgeting, CPDSO head Donna Tabangin said.   
Data is culled from the following aspects: health, nutrition, housing, water and sanitation, education, income, employment, peace and order, animal and agricultural data, infrastructure and gender.
A provision in the agreement states that information from individuals and households are confidential and covered by the Data Privacy Act of 2021 and other laws.
A training for data protection officers, local government unit officials and stakeholders is scheduled on March 23 and 24 and will focus on local CBMS database management, data privacy measures, data sharing protocols, and use and operation of the CBMS databank.    
The raining is a part of the final implementation of the CBMS program in the city. – Julie G. Fianza  "
324,4 recognized as Outstanding Women Leaders of Baguio ‘23,"MARCH 19, 2023","OUTSTANDING WOMEN LEADERS — The city government of Baguio recognized four Outstanding Women Leaders as part of the celebration of Women’s Month on March 16. This year’s OWLs are Annie Marie Caguioa, for education; Maria Monica Costales, for human resource management; Editha SemillaPuddoc, for public administration/community peace building; and Marites Baucas, for community women empowerment. — Hanna Lacsamana  Four residents of Baguio have been added to the city’s growing list of Outstanding Women Leaders.
As part of the celebration of Women’s Month, the city government has recognized four women leaders who excelled in the fields of public administration and community peace building, community women empowerment, human resource management, and education.
Editha Semilla Puddoc is the awardee for public administration and community peace building. She has been a resident since 1988 and works as a director at the National Police Commission-Cordillera.
Under her leadership, Napolcom-CAR has ensured the region’s police force continues to increase its engagement with the Philippine Commission on Women to improve gender mainstreaming among their ranks.
In 2018, the commission partnered with the OWLs and University of the Cordilleras, organizing the Women’s Forum on Crime Prevention and Gender Awareness and Development.
This led to the organization of the Sangguniang Kabataan Youth Summit which helped cascade information on combating illegal drugs, violence against women and children, and social factors affecting general health.
Marites Baucas has been chosen as an OWL for her contribution in community women empowerment.
A resident of Baguio for 33 years, Baucas was first employed as a laborer at Hangar market, worked as a farmer in Buguias, Benguet, her hometown.
In 2000, she was a community participant, became a committee member and later a member of the Board of Directors of the Balacbac Multipurpose Cooperative.
In 2012, she was elected president of the Sto. Tomas Proper Women’s Association and contributed in the development of the women’s social life and economic productivity that led to the establishment of a bakery that promoted and sold their products, becoming their source of income.
She became an OWL in the eyes of her community, women, and partners for contributing to the welfare of women members, indigent families, victims of abuse, youth, and children.
Maria Monica Costales, who has lived in the city for 55 years, is the OWL for human resource management.
As an educator at the Philippine Military Academy, she was every student’s champion who values education and advocates students’ welfare from 1997 to 2020, helping around 3,500 PMA graduates.
Her services as an educator and researcher have been extended to the entire Armed Forces of the Philippines.
She has also been organizing Baguio balik-eskwela projects distributing school supplies, and with her colleagues, she has been actively donating to projects for social causes.
Since becoming an educator in the 1990’s, Costales has been committed in purchasing school supplies and donating them in Baguio and neighboring communities using her personal resources.
Annie Marie Caguioa, OWLs awardee in the field of education, has been a resident of the city for 41 years. A teacher by profession, she rose from ranks as classroom adviser to assistant school director of St. Louis School.
Caguioa was also consulted by the city council of Baguio on the implementation of the Solo Parent Act to help single parents, especially women, ensure the welfare of their children. She empowered the parents and teachers association and alumni association of their school by giving financial assistance for the tuition of children with solo parents.
She also created the learners’ financial assistance that benefited around 350 learners in the school during the Covid-19 pandemic where most parents lost their job and cannot sustain the education of their children.
The OWLs 2023 awardees were feted on March 16 at the PFVR Gym led by its president Dona Digna Rosario and city officials led by Vice Mayor Faustino Olowan, Rep. Mark Go represented by wife Sol, and Philippine Information Agency-CAR Director Helen R. Tibaldo who was the guest of honor and speaker. – Hanna C. Lacsamana  "
325,The Baguio Museum elects new officers,"MARCH 19, 2023","U.S. Ambassador H. E. Sung Y Kim during the “soft launching”  of the Cordillera Gallery last July 19, 2019 as guest of honor and speaker.  With the culmination of the United States Embassy’s 2017 Ambassador’s Fund for Cultural Preservation (AFCP) project, the Baguio Museum is bracing for more aggressive projects in the next five years.
And it is calling on supporters to help this non-profit institution which was built in 1975, inaugurated in 1977 and destroyed by the earthquake in 1990 then rebuilt again in 2001.
The soft launching of the Cordillera Gallery was done in July 2019, prior the pandemic and was honored with the presence of U.S. Ambassador His Excellency Sung Y. Kim who started the 2017 AFCP project.
The Baguio Museum won a selective contest in the Philippines together with 30 other museums all over the world.
As for the grand relaunching in September 2022, U.S. Ambassador Her Excellency Mary Kay Carlson graced the event. The pandemic closed the museum temporarily for seven months starting in March 2020. The rehabilitation and beautification of its galleries continued in September 2020 after stringent protocol requirements for the carpenters were complied with. The project ended in June 2021.
The 30-month project grant from the U.S. Embassy in Manila was extended for 15 months as a result of the pandemic closure of all constructions and other unforeseen events. The Baguio Museum partially open to limited visitors in October 2021. By January of 2022, its doors opened to visitors after almost two years with strict protocols.
The grant implemented the following goals: Capability building training for the staff of the Baguio Museum and the small museums in Northern Luzon; Conservation/restoration and re inventory of its artifacts; and the infrastructure rehabilitation of its interior galleries from the 1st floor to the 4th. While in the process of rehabilitation, a strong typhoon hit Baguio damaging the roof. Conservation and restoration of artifacts had to be redone.
However, the U.S. Embassy came to its aid again. The project team consisted of the project director, Project Assistant Director Gemma Gardingan Estolas, Conservator-consultant Orlando Abinion, Curator consultant – Bettina Arriola and Project Architect Michael John Astudillo.
It also invited culture bearers to guide in the set-up of new exhibits. Towards the conclusion of the project, the U.S. Embassy had a reorganization in 2021, Grants Officer Representative Edwin “Boyet” Vergara, who generously helped the team was replaced by Floribel “Pong” Aureus and GO Matt Keener was replaced by Pauline Anderson.The pandemic also deterred the consultants from coming up because of travel restrictions. Hence, now that it has been completed, bigger programs and projects are planned for the coming years by a very enthused Board of Trustees.
First on the agenda, was the election of a new set of officers. This was done last March 4. The board intends to make this community museum digitalized and to be the first stop for tourists to visit before any tour is conducted.
Elected officers were: Peter Ng as president, Helen Tibaldo as vice president, Ryan Mangusan as secretary and Kristine Bautisa Sameon as treasurer.
The board is composed of capable and outstanding leaders representing a cross section of the community such as the academe, business, bankers, environmentalist, media, the indigenous and foreign communities, tourism oriented establishments like restaurants, artists, and the local government unit. The other members of the Board of Trustees are Edilberto Tenefrancia, Edna Anton, Nicolas Tabora (ex-officio), Fred Bagbagen (ex-officio), Felipe Puzon, Kidlat Tahimik, Sheree Nolasco and Stella de Guia (executive director). Gemma Estolas is the museum assistant curator.
With the support of the Board of Trustee and with limited budget, the Baguio Museum produced a “Virtual Turo-Tour-uan Series” during the pandemic to keep people interested and aware of the museum, beginning with Benguet province.
It was posted on YouTube. It shouted a clear message that culture and heritage is very much alive. Artists have started to exhibit their works in 2022. The museum was also able to produce its brochures finally funded by the Fernando and Rosa Bautista Foundation thru its trustee Kristine Sameon.
Meanwhile, trustee Kidlat Tahimik mounted his trial installations at the Baguio Museum and the Sunshine Park prior his monumental exhibit at the Palacio Cristal del Retiro in Madrid, Spain in October 2021, called “‘Magellan, Marilyn, Mickey and Fray Damaso: 500 Years of Rock Star Conquerors.”  This epic exhibit was visited by about half a million tourist in six months. The National Museum of Anthropology invited Tahimik’s exhibit and the installations. Some of the installations are at the FDCP Building and the Museong Pambata.
Ng has brought Chinese Consul Yang Zerui of the Consulate of the People’s Republic of China and the Filipino-Chinese community to the Museum in November 2022.
President of SM Supermalls Steven Tan gave a financial assistance to the museum’s “digitization” project for the purchase of “state of the art” laptops which were used to train selected High School and College students so they could use and reecho their knowledge to their particular schools and institutions. On top of these programs, the Baguio Museum also reached out to indigent patients and students with the help of partners SM Baguio and the Baguio General Hospital Advisory Board. Aggressive plans are on the pipeline, like marketing in the form of flyers and standees, to hotels, schools, taxi drivers and operators. Collaboration projects are underway with focus on training programs.
Training of affiliates like the Dosent committee volunteers and friends of the Museum volunteers are also going to be implemented.
Donors will be encouraged to help continue the museum’s “Digitization” project and acquisition of interactive equipment. The rehabilitation of its parking lots, painting of its roof and landscaping are also being targeted.
Ng is keen on improving the techo projects of the museum while Tibaldo would pursue an intensive marketing campaign.  "
326,Revisiting the Mirador Heritage & Eco-Spirituality Park after two years,"MARCH 19, 2023","The Peace Memorial has a majestic view of the Western Philippine Sea on a clear day.  It is no wonder why the weekend traffic at Lourdes Grotto in Dominican-Mirador, Baguio City has caused residents much discomfort, as the Mirador Heritage & Eco-Spirituality Park is a continuing work in progress. Compared to 2021, when the former Jesuit Villa inaugurated the Mirador Peace Memorial, it has become a tourist destination for varied visual, physical, and spiritual experiences.
When the Japanese Torii was installed in 2021, the traditional Japanese Shinto gate that marks the transition from the mundane to the sacred became a social media hit. Following the curiosity of many locals, we were awed by this one landmark on the property apart from the Lady of Lourdes image of the Virgin Mary that had continuously drawn many lowlanders to climb in some sort of penitence the 252 steps up the hill to the grotto once in their lives for many decades.
The Catholic devotion to Christ’s Mother Mary combined with the Japanese belief that spiritual powers exist should have shaken some purists’ religiosity into opposition, but it has convinced many that spirituality can be experienced deliberately or for now, expressed in the millions of photographs on Facebook and Instagram. From then till a few days ago, the elements of Japanese landscaping using different textures of stones instead of cement on surfaces has transformed what used to be jagged hillsides into gentle meandering paths connecting six adventures for a token P100 for non-residents and half the price for the locals.
Apart from the five mysteries of the rosary that mark the paths, there is the La Storta garden named after the vision of St Ignatius at the Chapel of La Storta near Rome in Italy. The three white circular symbols are used as seats in a small niche along the walk. The Peace Memorial with the bell and the Torii, is along a connecting path that is now leveled and surrounded by gentle stairs and steps that look out to the China sea on clear days or some of the 128 villages or barangays that make up the city and the province of La Union on foggy ones. There is access for wheelchairs in many parts of the park. On the same side of the hill, there is the Blue Moon Gate that is from Chinese traditional architecture that is a garden opening for pedestrians.
The path that continues to skirt the property on the left has the Pandemic Healing Memorial that leads to the Holy Family Gardens where prayers and petitions can walk side by side with each step. This leads to the multi-tiered walkway to the Founders’ Garden where sculptures made by famous artists give you more photo ops for selfies and the upper rock gardens with more reason to stop and rest along the way. The Arashiyama bamboo grove has become denser and provides the ecological highlight to the otherwise limestone dominated landscape. This then leads you out of the property and ends a delightful promenade.
But unknown to many, the Jesuits were hosts to the weather monitoring instruments early in the 20th century and once housed the earthquake monitoring equipment prior to the 1990 earthquake.
A structure is maintained as a memorial to the former Philippine Institute of Volcanology and Seismology station.
But the Bahay Lourdes has been repaired and now houses Café Iñigo of Ebai’s Café. This used to be where the Philippine Long Distance and Telephone Company opened a long-distance service office when long-distance operators were in vogue. Back then, the Internet was still imagined, but the need to communicate locally or internationally was urgent and it was here where the analog phones until the 1980s served the locals. But this is where a different kind of thin crust pizza can be had without having to pay the entrance fee. This is where you can wait comfortably for the tourists and try the Margarita pizza with sliced tomatoes and lots of cheese or the Sagada pizza that features the smoked ham or kini-ing from that part of the Cordillera.
The slices of sweet tomatoes make this a different snack compared to the commercial counterparts. Brewed coffee should keep you warm while you wait at the café. There are other snacks and meals available before or after the tour.
There is always a reason to go back to this Mirador destination. The happiness and spiritual renewal are take- home bonus sentiments to a worth it stroll.  "
327,"March 19, 2023","MARCH 17, 2023","  PRECIOSIMO “Boeing” AUTISTA ANCHETA July 1, 1951 – March 6, 2023 _______________ BEN DALASEN BATACLAO December 8, 1942 – March 18, 2021 _______________ Atty. CAMILO ACOSTA CASCOLAN March 8, 1927 – March 23, 2018 _______________ BENJAMIM SMITH DE GUZMAN September 11, 1949 – March 15, 2023 _______________ ROSALINA BOADO GAYO August 16, 1947 – March 4, 2023 _______________ CESAR M. HAMADA July 04, 1944 – March 24, 2002  "
328,VAPE SHOPS INSPECTION,"MARCH 12, 2023","The Smoke-Free Baguio Task Force led another round of inspection of vape shops in the city in collaboration with the Department of Trade and Industry, Food and Drug Administration, Bureau of Internal Revenue-CAR, Baguio City Police Office, Permits and Licensing Division, and Public Order and Safety Division on March 9. The team inspected three establishments that were issued notices of violation. One was found selling unauthorized vape products while the others operated without business permits. They also issued citation tickets to individuals who were chanced upon smoking outside the designated smoking areas. — Neil Ongchangco   "
329,"DUCK, COVER, HOLD","MARCH 12, 2023","Officials and employees of SM City Baguio participated in the nationwide simultaneous earthquake drill on March 9, as they properly executed the “duck, cover, and hold” drill. — SM handout photo   "
